"Date","Tickers"
"2015-12-12","HMY FL TLF GME BBY WMT TROX PPC"
"2015-12-13","GLW YHOO KSS AAPL DSW AGO JCP GE XOM WMT WFC VSLR SUNEQ FCX"
"2013-01-09","BA DVAX BYDDF MGMCF TEVA DRTX F IPAS WDC LUV AAPL SSNLF MSFT WINT HALO AIG PM SKUL S RBCAA BP APOL PEGFQ WMT SIRI LMCA ACU BIDU ARNA VVUS INTC CVI ENB BAC ANF SYK SODA HPTX PG BBRY PCLN UNXL KSS AMZN FB TZOO COP AMPE EOG V MA WU GNW"
"2013-01-08","TM CORT DRRSF SWY EBAY INVA POT AAPL PSA AMD GOOG DELL SVU GTXI TSLA INTC KHC CVX SIRI THO VZ T XPO KORS MCD DWA MAPP PPHM VLKAY CHK KERX MON WHR NOK MSFT DDD BTUUQ ARCH CNX DRYS ENZN COH CAR ANFI MNGGF CNNEF BBRY TECU SBUX MBND XOM V HAL VRX CLSN DHI BRKB BRKA YUM VVUS PACD DIS"
"2015-12-18","DCTFF INTC KLDX SPGYF GM TM KMI BFFI BA ACOR CBRL NOV TJX NYNY SDLP SIRI RWLK NAV BBRY FH TA NE JOY SPPGF ELEAF AAP DNN AAPL FOGO YY FSLR CVX SBUX DAL CALM EMR XOM"
"2015-12-19","CNK UNH BBRY AAPL TIS DECK OUT DHT DUFRY CPHC WILN"
"2007-08-29","ELRN MNDO LMC KCG ARNA"
"2006-12-31","GXP PFE HD LOW PTR EAC NNDS"
"2014-03-31","PULS GNLAF TWOU CTCM PBH SMA ABX JKS DXPE CSCO IBM MU HPQ GTLS INVA BAC SYMC CVX MAT YHOO TWX SAENF TD WTW TRMR FB SYF LDOS GWPH PEIX TVIA NOK T DISH RWEOY CHL RHT STT VALE PEP BBRY SCTY QCOM ODP GOOG AAPL"
"2014-03-30","NSRGY ODP BRKB BAC MU NOK MSFT BBRY GMCR NKE VHC AAPL FSLR TSLA BPI CTL AMZN ZNGA FB"
"2008-09-19","SPY IWM BBT LEA MGA AIG QQQ HQSM ABX LIHR NEM TD BMO BAC MER SQM TBSI AAPL CELG"
"2007-04-18","GSH URRE NNRI EWU FXB PUMGF SSRI STRA CYMI TMK"
"2010-02-12","ABB CRESY HTM SUG EGN WES SHDMF EME MTZ AZZ GLD AOBI"
"2007-02-28","EWT UMC MTL NPSN TCTZF DIS TWX NWS"
"2006-11-04","CWTR"
"2009-03-28","AAPL AMZN DISCA"
"2009-02-19","ATVI ANF CCL XOM ESI EXPD CKR BRID SFD DIA SPY QQQ PXJ PKB FLM X FXP GLD GDX DBP DOW ROH IQNT COMV RUGGF ENOC"
"2008-11-19","LOJN HPQ AAPL HD SHLD PEG DUK PHG YHOO MSFT GILD TEVA SYK TGT DPS WEN GE USB JNJ MNRTA APL PWE AMZN LLNW AKAM GILT"
"2008-11-18","LFC PNGAY XLF BBT VNO FSYS CBLI DBA ETN CTSH AET WY NAT LOW AIG TGT YUM MCD CNI YHOO SVU KR SWY CP ANF FRO OSGB"
"2007-01-19","EWZ ILF GG VNDA LAMR CWTR MU QI SEIC PBW MKTY"
"2007-11-02","WYNN LVS MGM PDS"
